Query,QueryText,Model,Rank,JobID,Title,ExperienceLevel,Relevant
Q1,SQL developer,BM25,1,jd-java-011,Java Developer,Experienced,0
Q1,SQL developer,BM25,2,jd-java-008,Java Developer,Fresher,0
Q1,SQL developer,BM25,3,jd-java-005,Java Developer,Fresher,0
Q1,SQL developer,BM25,4,jd-java-017,Java Developer,Experienced,0
Q1,SQL developer,BM25,5,net-f-009,.NET Developer,Fresher,1
Q1,SQL developer,Dense,1,sd005,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Dense,2,sd008,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Dense,3,sd004,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Dense,4,sd002,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Dense,5,sd003,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Hybrid,1,sd005,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Hybrid,2,sd004,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Hybrid,3,sd002,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Hybrid,4,sd008,Software Developer - Entry Level,Fresher,0
Q1,SQL developer,Hybrid,5,net-f-007,.NET Developer,Fresher,1
Q2,entry-level role building REST APIs in Python,BM25,1,sd008,Software Developer - Entry Level,Fresher,0
Q2,entry-level role building REST APIs in Python,BM25,2,se-f8,Software Engineer - Entry Level,Fresher,1
Q2,entry-level role building REST APIs in Python,BM25,3,se-f2,Software Engineer - Entry Level,Fresher,1
Q2,entry-level role building REST APIs in Python,BM25,4,and-f-04,Entry-level Android Developer,Fresher,0
Q2,entry-level role building REST APIs in Python,BM25,5,1,Backend Developer - Entry Level,Fresher,0
Q2,entry-level role building REST APIs in Python,Dense,1,se-e13,Software Engineer - Experienced,Experienced,0
Q2,entry-level role building REST APIs in Python,Dense,2,py-e-012,Python Developer,Experienced,0
Q2,entry-level role building REST APIs in Python,Dense,3,se-e19,Software Engineer - Experienced,Experienced,0
Q2,entry-level role building REST APIs in Python,Dense,4,py-e-013,Python Developer,Experienced,0
Q2,entry-level role building REST APIs in Python,Dense,5,py-e-011,Python Developer,Experienced,0
Q2,entry-level role building REST APIs in Python,Hybrid,1,se-f8,Software Engineer - Entry Level,Fresher,1
Q2,entry-level role building REST APIs in Python,Hybrid,2,sd008,Software Developer - Entry Level,Fresher,0
Q2,entry-level role building REST APIs in Python,Hybrid,3,1,Backend Developer - Entry Level,Fresher,0
Q2,entry-level role building REST APIs in Python,Hybrid,4,se-e13,Software Engineer - Experienced,Experienced,0
Q2,entry-level role building REST APIs in Python,Hybrid,5,8,Backend Developer - Entry Level,Fresher,0
Q3,AI engineer,BM25,1,ai002,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,BM25,2,ai004,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,BM25,3,ai008,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,BM25,4,ai006,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,BM25,5,ai016,AI Engineer - Experienced,Senior-Level,1
Q3,AI engineer,Dense,1,ai007,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Dense,2,ai005,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Dense,3,ai012,AI Engineer - Experienced,Senior-Level,1
Q3,AI engineer,Dense,4,ai001,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Dense,5,ai003,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Hybrid,1,ai005,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Hybrid,2,ai007,AI Engineer - Fresher,Entry-Level,1
Q3,AI engineer,Hybrid,3,ai012,AI Engineer - Experienced,Senior-Level,1
Q3,AI engineer,Hybrid,4,ai014,AI Engineer - Experienced,Senior-Level,1
Q3,AI engineer,Hybrid,5,ai004,AI Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,BM25,1,se018,System Engineer - Cloud & Automation,Experienced,1
Q4,cloud engineer with AWS and Docker,BM25,2,ca003,Junior Cloud Engineer,Fresher,0
Q4,cloud engineer with AWS and Docker,BM25,3,cl018,Cloud Engineer - Experienced,Senior-Level,1
Q4,cloud engineer with AWS and Docker,BM25,4,cl005,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,BM25,5,cl003,Cloud Engineer - Fresher,Entry-Level,1
Q4,cloud engineer with AWS and Docker,Dense,1,se018,System Engineer - Cloud & Automation,Experienced,1
Q4,cloud engineer with AWS and Docker,Dense,2,cl002,Cloud Engineer - Fresher,Entry-Level,1
